-46.4878301363267,-23.5334074095032,"R. Dos Continentes, 284",R Marciano Capella/ Av Antonio Diogo,Ref.: R Marciano Capella/ Av Antonio Diogo
-46.4598101683828,-23.5588923035353,"R. Cachoeira Da Ilha, 325",Rua Arraial Das Antas/posto De Saude,Ref.: Rua Arraial Das Antas/posto De Saude
-46.6912274783763,-23.7751027443477,"Av. Carlos Alberto Bastos Machado, 52",R Manuel Canales/ R Caetano Beni,Ref.: R Manuel Canales/ R Caetano Beni
-46.6907007266439,-23.7021398148676,"Av. Feliciano Correia, 360",Rua Artur Nascimento Junior,Ref.: Rua Artur Nascimento Junior
-46.6722126012642,-23.7620927027324,Av. Carlos Barbosa Dos Santos (estr. Barro Branco),R Assurbanipal/ R Professor Aurelio Arrobas Martins,Ref.: R Assurbanipal/ R Professor Aurelio Arrobas Martins
-46.5546778772446,-23.5274786050811,"Av. Airton Pretini, 115",Estr Da Penha/ R Frei Bertoldo,Ref.: Estr Da Penha/ R Frei Bertoldo
-46.5630778118733,-23.5365906194711,Terminal Metrô Carrão (lado Norte),,
-46.6450894373452,-23.5465858417454,Consolacao,"Av. Ipiranga, 102 Ref.: R Da Consolacao/ R Epitacio Pessoa","Av. Ipiranga, 102 Ref.: R Da Consolacao/ R Epitacio Pessoa"
-46.6507344495803,-23.5358878686845,Nothmann B/C,"Av. S. João, 1928 Ref.: R General Julio Marcondes Salgado/ Al Nothmann","Av. S. João, 1928 Ref.: R General Julio Marcondes Salgado/ Al Nothmann"
-46.7246041698908,-23.5278530862758,"R. Tebicuari, 765",R Cordilheiras/ R Passo Da Patria,Ref.: R Cordilheiras/ R Passo Da Patria
-46.6937642002125,-23.8541246745361,"Estr. Da Barragem, 508",Est Vargem Grande/ R Michel Ridolfi,Ref.: Est Vargem Grande/ R Michel Ridolfi
-46.4307703562808,-23.5389682419925,Terminal Cptm José Bonifácio Pl 1,,
-46.6966741955003,-23.5548849796359,"R. Natingui, 998",R Dos Moras/ R Sagarana,Ref.: R Dos Moras/ R Sagarana
-46.3939895011912,-23.5416841349019,"R. João Da Silva Aguiar, 35",R Giboiucus/ R Luis Cesar De Menezes,Ref.: R Giboiucus/ R Luis Cesar De Menezes
-46.4089224342048,-23.5430201758241,"R. Prof. Cosme Deodato Tadeu, 90",U B S Guaianases I,Ref.: U B S Guaianases I
-46.6246746819083,-23.4986548330863,"R. Cons. Saraiva, 189",R Voluntarios Da Patria/ Av Cruzeiro Do Sul,Ref.: R Voluntarios Da Patria/ Av Cruzeiro Do Sul
-46.6508910764887,-23.6472257562397,"R. Parnaíba Pauliello, 230",R Alexandre Martins Rodrigues/ R Geraldo Salini Romeo,Ref.: R Alexandre Martins Rodrigues/ R Geraldo Salini Romeo
-46.471518344752,-23.491268407367,"R. Guido Bonici, 303",R Rafael Augusto Pinheiro/ R Guido Bonici,Ref.: R Rafael Augusto Pinheiro/ R Guido Bonici
-46.5226598340763,-23.5804104596203,"R. Arambare, 34",R Antonio Lebel/ R Bartolomeu Abril,Ref.: R Antonio Lebel/ R Bartolomeu Abril
-46.7931173192521,-23.6971201121329,"R. Ciclades, 269",Achaira,Ref.: Achaira
-46.6016778420677,-23.4792547880708,Ponto De Desembarque,Term. Metrô Tucuruvi 2,Term. Metrô Tucuruvi 2
-46.538734753249,-23.5845355010227,"R. Solidônio Leite, 2044",R Jamaxi/ R Padre Marcel Cutsem,Ref.: R Jamaxi/ R Padre Marcel Cutsem
-46.4672782154098,-23.5354373491461,Pça. Das Professoras,Av Dos Alamandas/ R Ferdinando Bibiena,Ref.: Av Dos Alamandas/ R Ferdinando Bibiena
-46.6135592059076,-23.6549066421839,"Av. Do Cursino, 6325",R Angelo Bertini/ Av Dos Ourives,Ref.: R Angelo Bertini/ Av Dos Ourives
-46.6691664859105,-23.5020109555913,"R. Madalena Madureira, 252",R Joao Serrano/ R Rocha Lima,Ref.: R Joao Serrano/ R Rocha Lima
-46.3727137516341,-23.4932391257938,"R. João Batista De Godoi, 695",,
